id,name,name_en,keywords,image_filename,guidance,chakra,description,sku,usage_tags,dilution_guide,pillar,doctor_advice,capacity,price_member,price_retail,price
1,檸檬,Lemon,清陽初升・澄澈思緒・開朗篤定,lemon.jpg,當心神回歸呼吸之初，存在本身便如清露映光。無需用力證明，你本自具足安歇之所。,太陽神經叢、喉輪,對應太陽神經叢與喉輪。如晨曦初照果園，滌清紛擾雜念，喚醒明晰決斷與如實表達的內在勇氣。,30120302,薰香、塗抹、內服,直塗,右柱 (Mercy / 陽),位格：右柱。自然醫學建議：性味酸涼，入胃肺經。晨光般清冽提振，澄淨身心浮氣。主升發清陽。,15ml,470,630,630
2,肌因修護複方,Essential Oil Cellular Complex,生生不息・本源復甦・陰陽調和,essential-oil-cellular-complex.jpg,融入此時此刻的呼吸，靜觀內在的細微起伏。回歸本源的寧靜，生命自會修復其完整的樣貌。,,對應頂輪與心輪。乳香、野生百里香與丁香精華共振，如甘泉浸潤乾涸根系，喚醒深層自癒生機。,60208815,塗抹、內服,敏感,中柱 (Balance),位格：中柱。自然醫學建議：性味甘平，入心腎經。滋養本源元氣，調和身心節奏。主調和陰陽。,15ml,1520,2030,2030
3,牛至,Oregano,熾熱滌淨・劃定界線・破除虛妄,oregano.jpg,枯榮本是同枝所生。轉換凝視的微光，陰影背後正悄然孕育著豐碩的圓滿。,海底輪、太陽神經叢,對應海底輪與太陽神經叢。如淨化之刃斬斷束縛與依附，重新確立堅定自我界線，重啟純粹生命力。,30180302,薰香、塗抹、內服,稀釋,右柱 (Mercy / 陽),位格：右柱。自然醫學建議：性味辛溫，入肺經。氣息如火般熾熱穿透，強效淨化氣場。主大熱發散。,15ml,1020,1360,1360
4,楓香,Liquidambar,古木深根・沉澱過往・回歸本源,liquidambar.jpg,將過往的繁雜交還大地，讓心緒如落葉歸根。在歲月沉澱的香氣裡，重新記起自己最初的本心。,海底輪、心輪,對應海底輪。樹脂厚重沉著，如走入深秋古楓林，以時間的重量撫平躁動，帶來大地般的踏實依靠。,30070302,薰香、塗抹、內服,直塗,中柱 (Balance),位格：中柱。自然醫學建議：性味辛苦溫，入心肝肺經。收攝散亂心神，安和身心氣機。主穩固中氣。,15ml,1150,1535,1535
5,檜木,Hinoki,古木幽徑・凝神靜篤・收斂浮躁,hinoki.jpg,在幽靜林間深呼吸，與深厚大地脈動相連。平靜並非無聲，而是一份深沉篤定的從容。,海底輪、心輪,對應海底輪。蘊含高山古木千年沉潛之氣，築起安定身心的厚實屏障，安撫浮動心神。,60209137,薰香、塗抹,直塗,左柱 (Severity / 陰),位格：左柱。自然醫學建議：性味辛平，入肺經。如京都古剎之幽靜木香，潤澤舒緩肌理。主收斂浮氣。,5ml,950,1270,1270
6,黑胡椒,Black Pepper,地火暖意・溫中破寒・重啟熱忱,black-pepper.jpg,步履無須匆忙，每一步皆在築起屬於你的坦途。謙遜凝定心志，幽暗之中自會生出溫熱的火光。,海底輪、太陽神經叢,對應海底輪與太陽神經叢。辛辣醇厚如地心暖流，驅散體內沉滯與冷冽情緒，重新點燃前行的行動意志。,41040302,薰香、塗抹、內服,敏感,右柱 (Mercy / 陽),位格：右柱。自然醫學建議：性味辛大熱，入胃大腸經。溫中散寒，行氣活血。主溫陽通絡。,15ml,950,1270,1270
7,女性魅力複方,Soft Talk Touch,柔潤流動・芳華內蘊・悅納真我,soft-talk-touch.jpg,靜心獨處時泛起的微笑，是靈魂給予自己的至美甘霖。無需迎合喧囂，自芳自華便能吸引同頻美好。,,對應臍輪與心輪。茉莉與伊蘭伊蘭柔美相遇，如暮春微雨潤澤花苞，喚醒與生俱來的溫柔自信與深層接納。,31080302,薰香、塗抹,直塗,中柱 (Balance),位格：中柱。自然醫學建議：性味苦辛平，入肝經。疏肝理氣，撫平情緒波瀾。主調和情志。,10ml 滾珠,1050,1400,1400
8,防禦複方,Protective Blend,金匱禦外・氣場澄淨・安然安居,protective-blend.jpg,守護心中的靜謐庭園，任憑風雨過境。當內在光華凝定，萬物自能各安其位。,,對應喉輪與海底輪。丁香、肉桂與野橘溫暖交織，如寒夜中的紅泥小火爐，溫潤身心並鞏固能量防護。,30340302,薰香、塗抹、內服,敏感,左柱 (Severity / 陰),位格：左柱。自然醫學建議：性味辛溫，入肺經。充盈衛氣，固本禦外。主守護身心氣場。,15ml,1450,1930,1930
9,深藍安撫複方,Soothing Blend,蒼藍解縛・安撫酸楚・冰釋緊繃,soothing-blend.jpg,容許緊繃的身軀在微風中緩緩融解。放下對抗的執著，如薄冰遇春水，所有的凝滯皆能重歸流動。,,對應喉輪與海底輪。冬青、樟腦與藍艾菊交織出深邃蒼藍之息，如幽谷清泉洗滌勞頓，撫慰疲憊筋骨。,(待補),薰香、塗抹,直塗,左柱 (Severity / 陰),位格：左柱。自然醫學建議：性味辛涼，入心肺經。安撫深層緊繃，帶來清涼釋放。主收斂舒緩。,5ml,1420,1890,1890
10,放鬆緊張複方,Tension Blend,舒展眉心・清風拂嶺・消融凝滯,tension-blend.jpg,世間風浪皆如林間過客，何妨將肩頭的重擔暫時卸下。在一次悠長的吐息裡，尋回久違的清朗心境。,,對應眉心輪與喉輪。薄荷與薰衣草攜手拂過額際，如山巔初雪拂照，驅散緊繃壓迫，換得一席安適寧靜。,60218546,薰香、塗抹,直塗,左柱 (Severity / 陰),位格：左柱。自然醫學建議：性味辛甘涼，入心經。清心安神，解鬱鬆弛。主清利頭目。,10ml 滾珠,820,1095,1095
11,平靜複方,Calming Blend,水鏡安瀾・心無罣礙・祥和止泊,calming-blend.jpg,心湖止水之時，萬千星斗方得澄澈映現。收斂紛馳的思緒，在靜默裡感受如其所是的豐盛。,,對應心輪。薰衣草、雪松與依蘭溫存繚繞，如夜幕低垂的小院，撫慰躁動不安的靈魂，築起安祥避風港。,(待補),薰香、塗抹,直塗,左柱 (Severity / 陰),位格：左柱。自然醫學建議：性味辛甘涼，入心肝經。清心和中，平息驚懼浮動。主收斂安神。,5ml,1250,1670,1670
12,香蜂草,Melissa,心田甘霖・安定驚悸・靈慧昭然,melissa.jpg,花落是為了新芽抽長。放下不再相應的牽絆，在清空的留白之中，新機緣自會悄然綻放。,心輪、頂輪,氣息清甜，如陽光灑落心田，被譽為「靈魂的維他命」，能舒緩焦慮、安撫情緒波動，助於心神安詳並與內在智慧連結。,30850302,薰香、塗抹、內服,直塗,中柱 (Balance),位格：中柱。自然醫學建議：性味辛微苦涼，入心肝經。清心安神，涵養元氣。主調和中庸。,5ml,3950,5270,5270
